QueryId,DocumentId,Relevance
201,clueweb12-0000tw-05-12114,1
201,clueweb12-0000wb-30-01951,0
201,clueweb12-0000wb-60-01497,1
201,clueweb12-0005wb-86-10798,1
201,clueweb12-0100tw-14-21268,1
201,clueweb12-0100tw-31-09278,0
201,clueweb12-0100tw-31-09279,0
201,clueweb12-0100tw-52-04001,0
201,clueweb12-0106wb-18-19516,1
201,clueweb12-0108wb-22-26598,0
201,clueweb12-0108wb-33-05377,0
201,clueweb12-0108wb-70-31300,1
201,clueweb12-0108wb-86-18203,2
201,clueweb12-0209wb-62-29857,1
201,clueweb12-0300tw-49-08295,1
201,clueweb12-0300tw-57-15513,1
201,clueweb12-0300tw-67-08150,0
201,clueweb12-0300tw-88-05905,1
201,clueweb12-0300tw-97-03315,1
201,clueweb12-0301tw-15-04020,1
201,clueweb12-0301tw-21-03835,1
201,clueweb12-0301tw-46-07799,1
201,clueweb12-0304wb-36-29645,0
201,clueweb12-0307wb-47-02869,0
201,clueweb12-0311wb-19-19573,1
201,clueweb12-0311wb-58-22523,1
201,clueweb12-0400tw-08-22698,1
201,clueweb12-0400tw-34-18992,0
201,clueweb12-0400tw-90-10612,1
201,clueweb12-0400tw-95-07994,0
201,clueweb12-0400tw-96-08580,1
201,clueweb12-0400tw-96-08633,1
201,clueweb12-0400tw-96-22358,1
201,clueweb12-0400tw-96-22359,1
201,clueweb12-0400tw-98-04041,1
201,clueweb12-0400tw-98-19309,1
201,clueweb12-0400tw-98-19394,1
201,clueweb12-0400tw-98-19395,1
201,clueweb12-0400tw-99-08104,1
201,clueweb12-0400tw-99-10402,0
201,clueweb12-0401tw-00-05277,1
201,clueweb12-0401tw-00-10574,0
201,clueweb12-0401tw-00-11091,1
201,clueweb12-0401tw-01-03242,1
201,clueweb12-0401tw-02-13744,0
201,clueweb12-0401tw-08-02152,1
201,clueweb12-0401tw-11-13679,1
201,clueweb12-0401tw-13-12471,0
201,clueweb12-0401tw-16-02546,1
201,clueweb12-0401tw-16-02547,1
201,clueweb12-0401tw-16-02548,1
201,clueweb12-0401tw-17-04167,1
201,clueweb12-0500tw-09-01438,0
201,clueweb12-0500tw-09-16891,1
201,clueweb12-0500tw-09-16892,1
201,clueweb12-0500tw-11-17774,1
201,clueweb12-0500tw-12-01032,1
201,clueweb12-0500tw-12-01033,1
201,clueweb12-0500tw-12-09607,1
201,clueweb12-0500tw-13-21296,0
201,clueweb12-0500tw-14-16637,1
201,clueweb12-0500tw-17-18276,1
201,clueweb12-0500tw-25-15526,1
201,clueweb12-0500tw-25-18632,1
201,clueweb12-0500tw-31-16981,1
201,clueweb12-0500tw-40-09126,1
201,clueweb12-0503wb-16-05391,1
201,clueweb12-0506wb-90-23810,1
201,clueweb12-0508wb-36-14116,0
201,clueweb12-0508wb-96-01084,0
201,clueweb12-0509wb-52-08605,1
201,clueweb12-0600tw-15-11839,0
201,clueweb12-0600tw-16-08421,1
201,clueweb12-0600tw-21-12056,0
201,clueweb12-0600tw-27-03059,1
201,clueweb12-0603wb-59-05160,1
201,clueweb12-0604wb-40-13236,1
201,clueweb12-0605wb-65-13518,1
201,clueweb12-0607wb-19-31940,1
201,clueweb12-0608wb-54-01093,0
201,clueweb12-0608wb-67-09174,0
201,clueweb12-0700tw-06-03345,0
201,clueweb12-0700tw-16-15536,1
201,clueweb12-0700tw-32-01813,0
201,clueweb12-0700tw-38-05298,1
201,clueweb12-0700tw-43-07348,1
201,clueweb12-0700tw-53-23408,0
201,clueweb12-0700tw-54-14874,1
201,clueweb12-0700tw-61-14704,2
201,clueweb12-0700tw-72-10766,1
201,clueweb12-0700tw-74-19724,1
201,clueweb12-0700tw-77-17133,1
201,clueweb12-0700tw-79-17919,1
201,clueweb12-0700tw-79-17968,1
201,clueweb12-0700tw-79-17969,1
201,clueweb12-0700tw-84-06248,0
201,clueweb12-0711wb-28-10462,1
201,clueweb12-0711wb-42-19297,1
201,clueweb12-0711wb-72-07347,1
201,clueweb12-0712wb-13-29041,1
201,clueweb12-0712wb-53-05627,1
201,clueweb12-0712wb-66-26107,1
201,clueweb12-0713wb-35-13648,1
201,clueweb12-0713wb-38-03414,1
201,clueweb12-0713wb-53-13641,0
201,clueweb12-0713wb-62-15328,0
201,clueweb12-0714wb-00-13547,1
201,clueweb12-0716wb-29-07845,0
201,clueweb12-0716wb-86-24660,1
201,clueweb12-0717wb-19-18518,1
201,clueweb12-0717wb-31-34221,1
201,clueweb12-0800tw-05-18710,1
201,clueweb12-0800tw-13-17594,1
201,clueweb12-0800tw-13-20648,1
201,clueweb12-0800tw-17-25759,1
201,clueweb12-0800tw-17-25760,1
201,clueweb12-0800tw-17-25761,1
201,clueweb12-0800tw-20-08085,1
201,clueweb12-0800tw-20-08086,1
201,clueweb12-0800tw-20-11696,1
201,clueweb12-0800tw-24-12533,1
201,clueweb12-0800tw-37-07485,1
201,clueweb12-0800tw-88-09028,1
201,clueweb12-0800wb-04-25565,0
201,clueweb12-0800wb-08-03214,1
201,clueweb12-0800wb-34-17958,1
201,clueweb12-0802wb-64-20502,0
201,clueweb12-0807wb-51-08148,0
201,clueweb12-0807wb-91-00497,1
201,clueweb12-0807wb-93-08686,0
201,clueweb12-0808wb-98-13485,1
201,clueweb12-0809wb-23-05798,0
201,clueweb12-0809wb-35-25418,1
201,clueweb12-0809wb-37-01955,0
201,clueweb12-0809wb-58-06106,1
201,clueweb12-0810wb-64-06846,1
201,clueweb12-0810wb-78-21417,2
201,clueweb12-0816wb-83-13972,1
201,clueweb12-0818wb-58-25447,0
201,clueweb12-0900tw-16-01646,0
201,clueweb12-0900tw-34-09743,1
201,clueweb12-0900tw-63-01604,1
201,clueweb12-0900tw-97-01725,1
201,clueweb12-0900wb-34-08769,1
201,clueweb12-0900wb-35-34759,1
201,clueweb12-0900wb-35-34761,0
201,clueweb12-0901tw-08-02360,0
201,clueweb12-0902wb-72-11853,1
201,clueweb12-0904wb-53-24192,0
201,clueweb12-0904wb-71-24465,1
201,clueweb12-0904wb-71-24469,1
201,clueweb12-0904wb-71-24472,1
201,clueweb12-0904wb-85-19637,1
201,clueweb12-0905wb-50-14578,0
201,clueweb12-0906wb-67-25261,0
201,clueweb12-0906wb-96-33932,1
201,clueweb12-0907wb-95-27054,1
201,clueweb12-0908wb-09-14786,1
201,clueweb12-0908wb-98-10600,1
201,clueweb12-0909wb-35-26180,0
201,clueweb12-0909wb-35-26187,0
201,clueweb12-0909wb-96-26247,0
201,clueweb12-0915wb-07-09887,1
201,clueweb12-0915wb-34-01721,0
201,clueweb12-0915wb-38-28283,1
201,clueweb12-0915wb-93-12188,2
201,clueweb12-0915wb-93-18991,0
201,clueweb12-0915wb-93-18992,0
201,clueweb12-0915wb-93-18993,0
201,clueweb12-0916wb-37-04526,1
